Sl_No,r2,Port 1
1,0.02,2.5775
2,0.02028,2.5464
3,0.020561,2.5384
4,0.020841,2.5333
5,0.021121,2.4904
6,0.021401,2.4753
7,0.021682,2.4889
8,0.021962,2.4646
9,0.022242,2.4353
10,0.022523,2.4411
11,0.022803,2.4178
12,0.023083,2.4109
13,0.023363,2.4158
14,0.023644,2.3789
15,0.023924,2.3783
16,0.024204,2.3933
17,0.024484,2.3851
18,0.024765,2.4045
19,0.025045,2.3865
20,0.025325,2.3802
21,0.025606,2.4253
22,0.025886,2.4027
23,0.026166,2.4106
24,0.026446,2.3923
25,0.026727,2.4101
26,0.027007,2.4252
27,0.027287,2.412
28,0.027568,2.441
29,0.027848,2.4329
30,0.028128,2.4445
31,0.028408,2.447
32,0.028689,2.4912
33,0.028969,2.4709
34,0.029249,2.463
35,0.02953,2.4991
36,0.02981,2.4763
37,0.03009,2.5057
38,0.03037,2.481
39,0.030651,2.4983
40,0.030931,2.5289
41,0.031211,2.5447
42,0.031491,2.5437
43,0.031772,2.5468
44,0.032052,2.5513
45,0.032332,2.5408
46,0.032613,2.5591
47,0.032893,2.5698
48,0.033173,2.5991
49,0.033453,2.5948
50,0.033734,2.5693
51,0.034014,2.6065
52,0.034294,2.6014
53,0.034575,2.6024
54,0.034855,2.6267
55,0.035135,2.6377
56,0.035415,2.6406
57,0.035696,2.6181
58,0.035976,2.6298
59,0.036256,2.6429
60,0.036537,2.6557
61,0.036817,2.6368
62,0.037097,2.6439
63,0.037377,2.6324
64,0.037658,2.6332
65,0.037938,2.6652
66,0.038218,2.675
67,0.038498,2.655
68,0.038779,2.6723
69,0.039059,2.6636
70,0.039339,2.6493
71,0.03962,2.665
72,0.0399,2.683
73,0.04018,2.6596
74,0.04046,2.6835
75,0.040741,2.6205
76,0.041021,2.6715
77,0.041301,2.6594
78,0.041582,2.6521
79,0.041862,2.656
80,0.042142,2.6223
81,0.042422,2.6456
82,0.042703,2.6504
83,0.042983,2.6626
84,0.043263,2.6272
85,0.043544,2.6166
86,0.043824,2.614
87,0.044104,2.6271
88,0.044384,2.6091
89,0.044665,2.5859
90,0.044945,2.5901
91,0.045225,2.5712
92,0.045506,2.5706
93,0.045786,2.5311
94,0.046066,2.5217
95,0.046346,2.5053
96,0.046627,2.4738
97,0.046907,2.4849
98,0.047187,2.4695
99,0.047467,2.4514
100,0.047748,2.4344
101,0.048028,2.4044
102,0.048308,2.4083
103,0.048589,2.4
104,0.048869,2.3855
105,0.049149,2.3896
106,0.049429,2.3947
107,0.04971,2.4162
108,0.04999,2.3925
109,0.05027,2.3986
110,0.050551,2.4009
111,0.050831,2.3824
112,0.051111,2.4212
113,0.051391,2.4337
114,0.051672,2.4811
115,0.051952,2.4523
116,0.052232,2.4697
117,0.052513,2.4731
118,0.052793,2.4624
119,0.053073,2.5007
120,0.053353,2.4952
121,0.053634,2.4923
122,0.053914,2.4589
123,0.054194,2.4808
124,0.054474,2.4203
125,0.054755,2.4257
126,0.055035,2.4186
127,0.055315,2.3328
128,0.055596,2.2948
129,0.055876,2.255
130,0.056156,2.1916
131,0.056436,2.1178
132,0.056717,2.0811
133,0.056997,2.001
134,0.057277,1.9597
135,0.057558,1.874
136,0.057838,1.8466
137,0.058118,1.7484
138,0.058398,1.6941
139,0.058679,1.6529
140,0.058959,1.5677
141,0.059239,1.5396
142,0.05952,1.5112
143,0.0598,1.43
144,0.06008,1.43
145,0.06036,1.43
146,0.060641,1.43
147,0.060921,1.43
148,0.061201,1.43
149,0.061481,1.43
150,0.061762,1.43
151,0.062042,1.43
152,0.062322,1.43
153,0.062603,1.43
154,0.062883,1.43
155,0.063163,1.4468
156,0.063443,1.452
157,0.063724,1.5115
158,0.064004,1.5115
159,0.064284,1.5068
160,0.064565,1.5537
161,0.064845,1.5467
162,0.065125,1.5883
163,0.065405,1.6065
164,0.065686,1.5872
165,0.065966,1.6221
166,0.066246,1.6202
167,0.066527,1.6309
168,0.066807,1.65
169,0.067087,1.6196
170,0.067367,1.6125
171,0.067648,1.6101
172,0.067928,1.6101
173,0.068208,1.6195
174,0.068488,1.6237
175,0.068769,1.6206
176,0.069049,1.6267
177,0.069329,1.6126
178,0.06961,1.6327
179,0.06989,1.6061
180,0.07017,1.6509
181,0.07045,1.6204
182,0.070731,1.6001
183,0.071011,1.5997
184,0.071291,1.6269
185,0.071572,1.6213
186,0.071852,1.6413
187,0.072132,1.6448
188,0.072412,1.6448
189,0.072693,1.6426
190,0.072973,1.6431
191,0.073253,1.6709
192,0.073534,1.7035
193,0.073814,1.7081
194,0.074094,1.7018
195,0.074374,1.74
196,0.074655,1.7614
197,0.074935,1.762
198,0.075215,1.7986
199,0.075495,1.8194
200,0.075776,1.8249
201,0.076056,1.8718
202,0.076336,1.9
203,0.076617,1.9337
204,0.076897,1.9596
205,0.077177,1.9498
206,0.077457,1.9832
207,0.077738,2.0318
208,0.078018,2.0584
209,0.078298,2.0847
210,0.078579,2.1605
211,0.078859,2.1364
212,0.079139,2.1692
213,0.079419,2.1898
214,0.0797,2.2075
215,0.07998,2.2138
216,0.08026,2.2494
217,0.080541,2.2445
218,0.080821,2.2692
219,0.081101,2.281
220,0.081381,2.304
221,0.081662,2.3509
222,0.081942,2.3006
223,0.082222,2.3505
224,0.082503,2.3269
225,0.082783,2.3542
226,0.083063,2.3873
227,0.083343,2.3812
228,0.083624,2.3728
229,0.083904,2.3868
230,0.084184,2.4161
231,0.084464,2.4032
232,0.084745,2.4257
233,0.085025,2.4314
234,0.085305,2.4295
235,0.085586,2.48
236,0.085866,2.4661
237,0.086146,2.4349
238,0.086426,2.4768
239,0.086707,2.4728
240,0.086987,2.5041
241,0.087267,2.4879
242,0.087548,2.5063
243,0.087828,2.5237
244,0.088108,2.5369
245,0.088388,2.5133
246,0.088669,2.5334
247,0.088949,2.538
248,0.089229,2.5416
249,0.08951,2.5837
250,0.08979,2.5685
251,0.09007,2.5482
252,0.09035,2.585
253,0.090631,2.6065
254,0.090911,2.5932
255,0.091191,2.5574
256,0.091471,2.5751
257,0.091752,2.603
258,0.092032,2.5748
259,0.092312,2.5931
260,0.092593,2.5988
261,0.092873,2.5739
262,0.093153,2.5872
263,0.093433,2.5397
264,0.093714,2.5731
265,0.093994,2.5848
266,0.094274,2.5699
267,0.094555,2.6132
268,0.094835,2.5674
269,0.095115,2.5825
270,0.095395,2.5915
271,0.095676,2.6116
272,0.095956,2.569
273,0.096236,2.6087
274,0.096517,2.5921
275,0.096797,2.578
276,0.097077,2.6005
277,0.097357,2.5974
278,0.097638,2.5862
279,0.097918,2.5971
280,0.098198,2.591
281,0.098478,2.5992
282,0.098759,2.6081
283,0.099039,2.6226
284,0.099319,2.5807
285,0.0996,2.6317
286,0.09988,2.5707
287,0.10016,2.5978
288,0.10044,2.6088
289,0.100721,2.6041
290,0.101001,2.5902
291,0.101281,2.596
292,0.101562,2.5913
293,0.101842,2.5892
294,0.102122,2.6101
295,0.102402,2.6019
296,0.102683,2.5853
297,0.102963,2.6082
298,0.103243,2.5983
299,0.103524,2.6049
300,0.103804,2.6011
301,0.104084,2.5781
302,0.104364,2.5809
303,0.104645,2.5994
304,0.104925,2.5962
305,0.105205,2.5855
306,0.105485,2.5864
307,0.105766,2.6027
308,0.106046,2.5736
309,0.106326,2.5896
310,0.106607,2.5773
311,0.106887,2.5761
312,0.107167,2.5949
313,0.107447,2.5899
314,0.107728,2.589
315,0.108008,2.5956
316,0.108288,2.5758
317,0.108569,2.5852
318,0.108849,2.5699
319,0.109129,2.5791
320,0.109409,2.5721
321,0.10969,2.5755
322,0.10997,2.5831
323,0.11025,2.5622
324,0.110531,2.6063
325,0.110811,2.5604
326,0.111091,2.558
327,0.111371,2.5946
328,0.111652,2.5902
329,0.111932,2.589
330,0.112212,2.5907
331,0.112492,2.5828
332,0.112773,2.5716
333,0.113053,2.5884
334,0.113333,2.5796
335,0.113614,2.6071
336,0.113894,2.5933
337,0.114174,2.5864
338,0.114454,2.5975
339,0.114735,2.6123
340,0.115015,2.6018
341,0.115295,2.6023
342,0.115576,2.623
343,0.115856,2.6279
344,0.116136,2.6217
345,0.116416,2.6274
346,0.116697,2.6433
347,0.116977,2.6234
348,0.117257,2.6294
349,0.117538,2.6451
350,0.117818,2.6579
351,0.118098,2.6709
352,0.118378,2.6934
353,0.118659,2.6889
354,0.118939,2.6782
355,0.119219,2.6846
356,0.119499,2.6738
357,0.11978,2.6922
358,0.12006,2.6913
359,0.12034,2.7033
360,0.120621,2.6884
361,0.120901,2.7106
362,0.121181,2.7275
363,0.121461,2.7043
364,0.121742,2.713
365,0.122022,2.7182
366,0.122302,2.7025
367,0.122583,2.7124
368,0.122863,2.7096
369,0.123143,2.7112
370,0.123423,2.6983
371,0.123704,2.7104
372,0.123984,2.7176
373,0.124264,2.7321
374,0.124545,2.7249
375,0.124825,2.7431
376,0.125105,2.6997
377,0.125385,2.7248
378,0.125666,2.7151
379,0.125946,2.746
380,0.126226,2.7018
381,0.126507,2.7023
382,0.126787,2.707
383,0.127067,2.6852
384,0.127347,2.7103
